antecedent,consequent,support,confidence,lift
"Rain_Low, Gust_Low",Outcome_High_Affected,0.05020278938108821,0.3326439117952303,1.1961588152915064
Super_Typhoon,Outcome_High_Affected,0.09494766134350245,0.3317307180272987,1.1928750492676958
"Rain_Med, Budget_High",Outcome_High_Damage,0.031791145784344936,0.33411063712443356,1.1895237899680202
"Rain_Low, Var_Efficient",Outcome_High_Damage,0.08838179856478544,0.33407194762723014,1.1893860449451694
"Gust_High, Var_Efficient",Outcome_High_Damage,0.08900195335102078,0.3339436022810948,1.1889291009703424
"Gust_Med, Budget_Low",Outcome_High_Damage,0.03757673345412972,0.33363170463921255,1.1878186614217934
"Gust_Low, Var_Efficient",Outcome_High_Damage,0.08717894757559022,0.332769180633957,1.184747843825262
"Rain_Med, Super_Typhoon",Outcome_High_Damage,0.029755199734730772,0.3325816713359044,1.1840802602583531
Gust_Low,Outcome_High_Damage,0.09377539518169013,0.3305024602355245,1.1766777091466794
"Budget_High, Var_Efficient",Outcome_High_Damage,0.09077582863080755,0.3295590853192127,1.1733190405467508
"Rain_Low, Budget_Low",Outcome_High_Damage,0.04101205637645928,0.3289869318947172,1.1712820203674277
