antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Budget_Low', 'Rain_High'})","frozenset({'Outcome_High_Mortality', 'Outcome_High_Damage'})",0.1872791519434629,0.13074204946996468,0.03180212014134275,0.16981132075471697,1.298827129015808,1.0,0.0073168599932574956,1.0470607131384515,0.28309178743961333,0.11111111111111109,0.04494554379506057,0.20652728199898007
"frozenset({'Inefficient_Spending', 'Rain_High'})","frozenset({'Outcome_High_Mortality', 'Outcome_High_Damage'})",0.31448763250883394,0.13074204946996468,0.053003533568904596,0.16853932584269662,1.2890980868508957,1.0,0.011886775961742556,1.0454588864482857,0.3271477663230239,0.13513513513513511,0.04348223257513472,0.286972365624051
"frozenset({'Budget_Low', 'Outcome_High_Damage', 'Rain_High'})","frozenset({'Outcome_High_Mortality', 'Inefficient_Spending'})",0.07773851590106007,0.10600706713780919,0.01060070671378092,0.13636363636363638,1.2863636363636364,1.0,0.002359874639463598,1.0351497117351682,0.2413793103448277,0.061224489795918366,0.03395616241466045,0.1181818181818182
"frozenset({'Outcome_High_Mortality', 'Inefficient_Spending'})","frozenset({'Budget_Low', 'Outcome_High_Damage', 'Rain_High'})",0.10600706713780919,0.07773851590106007,0.01060070671378092,0.1,1.2863636363636364,1.0,0.002359874639463598,1.0247349823321554,0.24901185770750997,0.061224489795918366,0.02413793103448277,0.1181818181818182
"frozenset({'Inefficient_Spending', 'Budget_Low', 'Rain_High'})",frozenset({'Outcome_High_Damage'}),0.04240282685512368,0.38869257950530034,0.02120141342756184,0.5,1.2863636363636364,1.0,0.004719749278927196,1.2226148409893993,0.23247232472324733,0.05172413793103448,0.18208092485549135,0.2772727272727273
"frozenset({'Inefficient_Spending', 'Rain_High'})",frozenset({'Outcome_High_Damage'}),0.31448763250883394,0.38869257950530034,0.15547703180212014,0.4943820224719101,1.2719101123595506,1.0,0.03323802269974653,1.2090302316450727,0.3118556701030928,0.2838709677419355,0.17289082288757548,0.44719101123595506
frozenset({'Rain_High'}),"frozenset({'Outcome_High_Mortality', 'Inefficient_Spending'})",0.49823321554770317,0.10600706713780919,0.06713780918727916,0.1347517730496454,1.271158392434988,1.0,0.014321567256427227,1.0332213404390893,0.42512972572275765,0.12500000000000003,0.03215316906343733,0.3840425531914894
"frozenset({'Inefficient_Spending', 'Budget_Low'})",frozenset({'Outcome_High_Mortality'}),0.06713780918727916,0.20848056537102475,0.0176678445229682,0.2631578947368421,1.262265834076717,1.0,0.003670916105832261,1.0742049469964663,0.22272727272727272,0.0684931506849315,0.06907894736842102,0.17395182872435325
"frozenset({'Inefficient_Spending', 'Budget_Low'})","frozenset({'Outcome_High_Mortality', 'Outcome_High_Damage'})",0.06713780918727916,0.13074204946996468,0.01060070671378092,0.15789473684210525,1.2076813655761023,1.0,0.001822971943712618,1.032243816254417,0.18434343434343417,0.056603773584905655,0.031236628155755217,0.11948790896159317
frozenset({'Rain_High'}),"frozenset({'Outcome_High_Mortality', 'Outcome_High_Damage'})",0.49823321554770317,0.13074204946996468,0.07773851590106007,0.15602836879432624,1.1934061721295763,1.0,0.012598484186342684,1.029961101048193,0.32298335467349526,0.14102564102564102,0.029089546214611073,0.3753114816944604
"frozenset({'Budget_Low', 'Rain_High'})",frozenset({'Outcome_High_Mortality'}),0.1872791519434629,0.20848056537102475,0.045936395759717315,0.24528301886792453,1.1765270227054685,1.0,0.006892332280338122,1.0487632508833922,0.18461538461538457,0.1313131313131313,0.046495956873315356,0.232811000959386
frozenset({'Rain_High'}),frozenset({'Outcome_High_Damage'}),0.49823321554770317,0.38869257950530034,0.2226148409893993,0.4468085106382979,1.1495164410058027,1.0,0.028955287242942246,1.1050557216634957,0.25922199865861856,0.3351063829787234,0.09506825728692665,0.5097678916827854
"frozenset({'Outcome_High_Mortality', 'Budget_Low', 'Rain_High'})","frozenset({'Inefficient_Spending', 'Outcome_High_Damage'})",0.045936395759717315,0.2049469964664311,0.01060070671378092,0.23076923076923078,1.1259946949602122,1.0,0.001186180374333554,1.0335689045936396,0.11728395061728393,0.04411764705882353,0.03247863247863248,0.14124668435013263
"frozenset({'Inefficient_Spending', 'Outcome_High_Damage'})","frozenset({'Outcome_High_Mortality', 'Budget_Low', 'Rain_High'})",0.2049469964664311,0.045936395759717315,0.01060070671378092,0.05172413793103448,1.1259946949602122,1.0,0.001186180374333554,1.0061034371988435,0.14074074074074075,0.04411764705882353,0.006066411238825031,0.14124668435013263
