Year,typhoon_key,region_key,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Cumulative_Budget_To_Date,Cumulative_Variance_To_Date,Variance_Ratio_To_Date,typhoon_name_info_infra,Region_info_infra,Date,Province,Location,infra_project_count,typhoon_name_impact,Region_impact,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),_merge,merge_source,has_infra_weather_data,has_impact_data
2024,FERDIE,REGION IV B,178.6,0.0,6839557626.939999,323729883.1,0.0473319914470602,Ferdie,Region IV-B,2024-09-13,Occidental Mindoro,"San Jose, Occidental Mindoro",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,FERDIE,REGION V,127.2,0.0,15048590029.759998,67452570.32999991,0.0044823182900594,Ferdie,Region V,2024-09-13,Camarines Sur,"Pili, Camarines Sur",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,FERDIE,REGION VI,398.2,0.0,14883444424.4,73619830.71999995,0.0054768333844874,Ferdie,Region VI,2024-09-13,Iloilo,"Dumangas, Iloilo",2.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,FERDIE AND GENER AND HELEN AND IGME,BARMM,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,BARMM,Combined Effects,0.0,0.0,304560.0,43.0,219.0,262.0,0.0,0.0,right_only,impact_only,False,True
2024,FERDIE AND GENER AND HELEN AND IGME,CAR,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,CAR,Combined Effects,0.0,0.0,6423.0,0.0,3.0,3.0,20170000.0,0.0,right_only,impact_only,False,True
2024,FERDIE AND GENER AND HELEN AND IGME,CARAGA,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,CARAGA,Combined Effects,0.0,0.0,79.0,0.0,11.0,11.0,0.0,0.0,right_only,impact_only,False,True
2024,FERDIE AND GENER AND HELEN AND IGME,REGION II,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,Region II,Combined Effects,0.0,0.0,7381.0,2.0,13.0,15.0,0.0,0.0,right_only,impact_only,False,True
2024,FERDIE AND GENER AND HELEN AND IGME,REGION III,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,Region III,Combined Effects,0.0,0.0,350422.0,0.0,0.0,0.0,0.0,0.0,right_only,impact_only,False,True
2024,FERDIE AND GENER AND HELEN AND IGME,REGION IV B,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,Region IV-B,Combined Effects,4.0,3.0,86430.0,31.0,254.0,285.0,0.0,739767570.46,right_only,impact_only,False,True
2024,FERDIE AND GENER AND HELEN AND IGME,REGION IX,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,Region IX,Combined Effects,0.0,0.0,19121.0,90.0,136.0,226.0,0.0,1190730.0,right_only,impact_only,False,True
2024,FERDIE AND GENER AND HELEN AND IGME,REGION V,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,Region V,Combined Effects,0.0,0.0,309645.0,1.0,0.0,1.0,0.0,0.0,right_only,impact_only,False,True
2024,FERDIE AND GENER AND HELEN AND IGME,REGION VI,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,Region VI,Combined Effects,0.0,0.0,462679.0,207.0,1915.0,2122.0,200000.0,351011392.06,right_only,impact_only,False,True
2024,FERDIE AND GENER AND HELEN AND IGME,REGION VII,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,Region VII,Combined Effects,0.0,0.0,33613.0,38.0,64.0,102.0,0.0,0.0,right_only,impact_only,False,True
2024,FERDIE AND GENER AND HELEN AND IGME,REGION X,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,Region X,Combined Effects,0.0,0.0,19630.0,51.0,554.0,605.0,2317500.0,0.0,right_only,impact_only,False,True
2024,FERDIE AND GENER AND HELEN AND IGME,REGION XI,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,Region XI,Combined Effects,0.0,0.0,409.0,4.0,6.0,10.0,0.0,0.0,right_only,impact_only,False,True
2024,FERDIE AND GENER AND HELEN AND IGME,REGION XII,,,,,,,,,,,,Ferdie and Gener and Helen and Igme,Region XII,Combined Effects,0.0,0.0,29127.0,2.0,5.0,7.0,0.0,0.0,right_only,impact_only,False,True
2024,GENER,REGION I,99.1,12.0,10778333645.16,176952293.23999992,0.016417407278857,Gener,Region I,2024-09-16,Pangasinan,"Dagupan City, Pangasinan",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,GENER,REGION II,89.5,17.0,6587745667.190001,36844439.92,0.0055928752841054,Gener,Region II,2024-09-16,Cagayan,"Calayan, Cagayan",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,GENER,REGION IV B,108.0,12.0,7030747387.08,325540122.96000004,0.0463023495280496,Gener,Region IV-B,2024-09-16,Occidental Mindoro,"San Jose, Occidental Mindoro",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,GENER,REGION VI,156.0,12.0,5536475216.32,41658562.009999976,0.0075243833634804,Gener,Region VI,2024-09-16,Iloilo,"Dumangas, Iloilo",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,GENER,REGION VII,134.9,12.0,4182289871.03,-168315.3900000006,-4.024479296996898e-05,Gener,Region VII,2024-09-16,Negros Oriental,"La Carlota City, Negros Oriental",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,HELEN,REGION I,99.1,0.0,10778333645.16,176952293.23999992,0.016417407278857,Helen,Region I,2024-09-17,Pangasinan,"Dagupan City, Pangasinan",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,HELEN,REGION III,84.7,0.0,3123217765.84,16893336.620000005,0.005408952524787,Helen,Region III,2024-09-17,Bataan,"Abucay, Bataan",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,HELEN,REGION IV B,86.1,0.0,3420979996.19,73863244.25000003,0.0215912528960305,Helen,Region IV-B,2024-09-17,Palawan,"Coron, Palawan",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,HELEN,REGION VI,156.0,0.0,5536475216.32,41658562.009999976,0.0075243833634804,Helen,Region VI,2024-09-17,Iloilo,"Dumangas, Iloilo",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,HELEN,REGION XI,70.6,0.0,1674864664.0299995,1596743.9699999802,0.0009533570110422,Helen,Region XI,2024-09-17,Davao del Norte,"Tagum City, Davao del Norte",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,IGME,REGION II,78.0,0.0,6587745667.190001,36844439.92,0.0055928752841054,Igme,Region II,2024-09-20,Cagayan,"Aparri, Cagayan",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,IGME,REGION III,331.4,0.0,11583058558.5,60215009.520000026,0.0052088550306898,Igme,Region III,2024-09-20,Zambales,"Cubi Pt., Zambales",3.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,IGME,REGION IV A,97.1,0.0,6100140439.17,40009330.91999996,0.006558755707179,Igme,Region IV-A,2024-09-20,Quezon,"Tayabas, Quezon",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,JULIAN,CAR,,,,,,,,,,,,Julian,CAR,Super Typhoon,0.0,0.0,75081.0,3.0,30.0,33.0,37963930.0,10510664.7,right_only,impact_only,False,True
2024,JULIAN,REGION I,837.4000000000001,54.0,23421133086.43,106268636.34000011,0.006065033007289967,Julian,Region I,2024-09-30,Ilocos Norte,"Laoag City, Ilocos Norte",3.0,Julian,Region I,Super Typhoon,4.0,0.0,262220.0,17.0,599.0,616.0,738157080.27,387835224.7,both,both,True,True
