Cyclone Name,Region,Year,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP)
Egay,Region III,2023,Super Typhoon,0,0,1258100,0,0,0,434000000.0,1050000000.0
Egay,Region IV-B,2023,Super Typhoon,0,0,1818,0,0,0,10949100.0,0.0
Egay,Region V,2023,Super Typhoon,0,0,3983,0,0,0,52005000.0,0.0
Egay,Region VI,2023,Super Typhoon,0,0,1773525,0,0,0,1500000.0,9234566.3
Goring,CALABARZON,2023,Super Typhoon,0,0,749,5,8,13,0.0,213500.0
Goring,CAR,2023,Super Typhoon,0,0,35231,6,114,120,87610000.0,50201787.23
Goring,Region I,2023,Super Typhoon,0,0,995,0,24,24,643510.0,13028205.0
Goring,Region II,2023,Super Typhoon,0,0,95618,203,7293,7496,483173826.36,774240116.95
Goring,Region III,2023,Super Typhoon,0,1,246978,0,10,10,0.0,5737325.56
Goring,Region IV-B,2023,Super Typhoon,0,0,5348,10,45,55,10949100.0,29678492.99
Goring,Region VI,2023,Super Typhoon,1,0,149799,88,1419,1507,1500000.0,192564208.39
Jenny,CALABARZON,2023,Tropical Storm,0,0,7797,0,0,0,0.0,0.0
Jenny,CAR,2023,Tropical Storm,0,0,16018,0,0,0,0.0,0.0
Jenny,NCR,2023,Tropical Storm,0,0,7819,0,0,0,0.0,0.0
Jenny,Region I,2023,Tropical Storm,0,0,15461,0,0,0,0.0,0.0
Jenny,Region II,2023,Tropical Storm,0,0,61449,0,0,0,0.0,0.0
Jenny,Region III,2023,Tropical Storm,0,0,3109,0,0,0,0.0,0.0
Jenny,Region IV-B,2023,Tropical Storm,0,0,6012,0,0,0,0.0,0.0
Jenny,Region VI,2023,Tropical Storm,1,0,290388,1,25,26,0.0,0.0
Kabayan,CARAGA,2023,Tropical Storm,0,0,353915,65,2106,2171,2352000.0,0.0
Kabayan,Region IV-B,2023,Tropical Storm,0,0,350,2,0,2,0.0,0.0
Kabayan,Region VI,2023,Tropical Storm,0,0,983,0,0,0,0.0,0.0
Kabayan,Region VIII,2023,Tropical Storm,0,0,332,0,0,0,0.0,0.0
Kabayan,Region X,2023,Tropical Storm,0,1,527,0,2,2,0.0,40000.0
Kabayan,Region XI,2023,Tropical Storm,0,0,69759,120,556,676,0.0,0.0
Aghon,CALABARZON,2024,Typhoon,5,0,126383,748,6890,7638,942546193.82,80402565.0
Aghon,NCR,2024,Typhoon,0,0,303,0,0,0,0.0,0.0
Aghon,Region III,2024,Typhoon,0,0,8589,0,0,0,0.0,0.0
Aghon,Region IV-B,2024,Typhoon,0,0,3656,0,0,0,0.0,0.0
Aghon,Region V,2024,Typhoon,0,0,10675,0,0,0,0.0,0.0
Aghon,Region VII,2024,Typhoon,0,0,629,0,0,0,0.0,0.0
