Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Province,Region
Isang,2025,"Casiguran, Aurora",122.6,16.0,Aurora,Region III
Isang,2025,Baguio City,121.28750000000001,15.0,Benguet,CAR
Isang,2025,"Baler, Aurora",122.6,12.0,Aurora,Region III
Isang,2025,"Muñoz City, Nueva Ecija",122.6,5.0,Nueva Ecija,Region III
Mirasol,2025,"Casiguran, Aurora",208.0,26.0,Aurora,Region III
Mirasol,2025,"La Trinidad, Benguet",96.5,13.857142857142858,Benguet,CAR
Mirasol,2025,"Baler, Aurora",93.4,10.0,Aurora,Region III
Mirasol,2025,"Echague, Isabela",78.8,15.0,Isabela,Region II
Mirasol,2025,"Tanay, Rizal",75.6,8.0,Rizal,Region IV-A
Mirasol,2025,"Basco, Batanes",78.8,15.0,Batanes,Region II
Mirasol,2025,"Calayan, Cagayan",78.8,15.0,Cagayan,Region II
Mirasol,2025,"Infanta, Quezon",75.6,8.0,Quezon,Region IV-A
Nando,2025,"La Trinidad, Benguet",370.9,30.3125,Benguet,CAR
Nando,2025,Baguio City,327.0,30.3125,Benguet,CAR
Nando,2025,"Sinait, Ilocos Sur",267.8,19.0,Ilocos Sur,Region I
Nando,2025,"Batac, Ilocos Norte",210.4,24.5,Ilocos Norte,Region I
Nando,2025,"Laoag City, Ilocos Norte",178.9,30.0,Ilocos Norte,Region I
Nando,2025,"Calayan, Cagayan",271.0,80.0,Cagayan,Region II
Nando,2025,"Itbayat, Batanes",271.0,31.0,Batanes,Region II
Nando,2025,"Aparri, Cagayan",271.0,30.0,Cagayan,Region II
Nando,2025,"Tuguegarao City, Cagayan",271.0,14.0,Cagayan,Region II
Nando,2025,"Bayombong, Nueva Vizcaya",271.0,14.0,Nueva Vizcaya,Region II
Opong,2025,"Baybay City, Leyte",261.1,21.0,Leyte,Region VIII
Opong,2025,"Catbalogan City, Samar",250.8,21.0,Samar,Region VIII
Opong,2025,"Maasin City, Southern Leyte",213.1,21.0,Southern Leyte,Region VIII
Opong,2025,"Coron, Palawan",135.6,41.0,Palawan,Region IV-B
Opong,2025,"Roxas City, Capiz",132.0,18.0,Capiz,Region VI
Opong,2025,"Romblon, Romblon",135.6,41.0,Romblon,Region IV-B
Opong,2025,"Masbate City, Masbate",195.69523809523812,34.0,Masbate,Region V
Opong,2025,"Guiuan, Eastern Samar",241.66666666666666,21.0,Eastern Samar,Region VIII
Opong,2025,"Tanay, Rizal",195.69523809523812,20.0,Rizal,Region IV-A
Paolo,2025,"Iba, Zambales",277.5,16.0,Zambales,Region III
Paolo,2025,"Cubi Pt., Subic Bay",174.5,17.0,Zambales,Region III
Paolo,2025,Baguio City,134.4,20.0,Benguet,CAR
Paolo,2025,"Abucay, Bataan",133.7,19.75,Bataan,Region III
Paolo,2025,"Casiguran, Aurora",110.0,26.0,Aurora,Region III
Paolo,2025,"Echague, Isabela",167.33749999999998,20.5,Isabela,Region II
Paolo,2025,"Baler, Aurora",173.925,20.0,Aurora,Region III
Ramil,2025,"Guiuan, Eastern Samar",400.7,12.65625,Eastern Samar,Region VIII
Ramil,2025,"Roxas City, Capiz",365.5,12.65625,Capiz,Region VI
Ramil,2025,"Iba, Zambales",149.3,13.25,Zambales,Region III
Ramil,2025,"Itbayat, Batanes",130.5,11.0,Batanes,Region II
Ramil,2025,"Infanta, Quezon",119.6,12.65625,Quezon,Region IV-A
Ramil,2025,"Baler, Aurora",149.3,18.0,Aurora,Region III
Ramil,2025,"Clark International Airport, Pampanga",149.3,13.0,Pampanga,Region III
Ramil,2025,Baguio City,189.32999999999998,13.0,Benguet,CAR
Ramil,2025,"Casiguran, Aurora",149.3,12.0,Aurora,Region III
Ramil,2025,"Aparri, Cagayan",130.5,11.0,Cagayan,Region II
Ramil,2025,"Muñoz City, Nueva Ecija",149.3,10.0,Nueva Ecija,Region III
Tino,2025,"Maasin City, Southern Leyte",235.2,27.0,Southern Leyte,Region VIII
Tino,2025,Lapu-Lapu City,183.0,25.0,Cebu,Region VII
Tino,2025,"Juban, Sorsogon",177.0,26.8,Sorsogon,Region V
Tino,2025,"Surigao City, Surigao del Norte",162.4,24.0,Surigao del Norte,Region XIII
